SurveyYear,Survey,SurveyQuarter,StaPlanned,StaValComp,DifSta,SurveyCov,DisruptorCat,Disruptor,DurationIfTemp,LocationIf Spat,Comment,NStaAff,SurveyCovAff,Reference,,,,,
2012,SP-PORC,Q3,80,79,1,99,3,weather,1 day,NA,NA,NA,NA,ICES (2013),,,,,
2012,SP-PORC,Q3,,,,,3,administration,1.5 days,NA,NA,NA,NA,ICES (2013),,,,,
2012,SP-ARSA,Q1,41,33,8,80,3,financial,NA,NA,only case with non-permanent financial budget,NA,NA,ICES (2013),,,,,
2012,FR-CGFS,Q1,41,37,4,90,3,gear,5 days,NA,NA,NA,NA,ICES (2013),,,,,
2013,NS-IBTS DEN,Q1,40,39,1,98,3,weather,NA,NA,NA,NA,NA,ICES (2013),,,,,
2013,NS-IBTS GER,Q1,77,65,12,84,3,weather,NA,11 rectangles,NA,11,14,ICES (2013),,,,,
2013,NS-IBTS GER,Q3,29,17,12,59,3,gear,NA,NA,NA,NA,NA,ICES (2014),,,,,
2013,UK-SCOROC,Q3,36,31,5,86,3,weather,NA,5 stations,NA,5,14,ICES (2014),,,,,
2013,UK-SCOROC,Q3,,,,,3,staff,NA,NA,newly introduced restrictions on working hours,NA,NA,ICES (2014),,,,,
2013,UK-SCOGFS,Q4,55,25,30,45,3,weather,NA,NA,NA,NA,NA,ICES (2014),,,,,
2013,UK-SCOGFS,Q4,,,,,3,gear,NA,NA,forced survey to be terminated,NA,NA,ICES (2014),,,,,
2013,UK-NIGFS,Q1,60,54,6,90,3,weather,NA,NA,NA,NA,NA,ICES (2014),,,,,
2013,UK-NIGFS,Q1,,,,,1,windfarm,NA,NA,NA,NA,NA,ICES (2014),,,,,
2013,UK-NIGFS,Q4,60,58,2,97,3,weather,NA,NA,NA,NA,NA,ICES (2014),,,,,
2013,UK-NIGFS,Q4,,,,,1,windfarm,NA,NA,historic station relocated,1,2,ICES (2014),,,,,
2013,FR-CGFS,Q4,110,94,16,85,3,gear,NA,NA,6 hauls not validated bc gear damage,6,5,ICES (2014),,,,,
2013,PT-PGFS,Q3/Q4,96,93,3,97,2,fisheries,NA,NA,3 hauls because of static gear,3,3,ICES (2014),,,,,
2014,NS-IBTS GER,Q1,77,46,31,60,3,weather,NA,NA,NA,NA,NA,ICES (2014),,,,,
2014,NS-IBTS NOR,Q1,40,31,9,78,1,oil/gas,NA,NA,"new oil installations: little towable area, harassment by rig stand-by vessels",NA,NA,ICES (2014),,,,,
2014,NS-IBTS SWE,Q1,46,45,1,98,3,weather,NA,NA,NA,NA,NA,ICES (2014),,,,,
2014,NS-IBTS DEN,Q1,40,35,5,88,3,weather,NA,NA,NA,NA,NA,ICES (2014),,,,,
2014,UK-SCOGFS,Q4,60,59,1,98,3,gear,NA,NA,now called UK-SCOWGFS; haul classified invalid due to gear damage,NA,NA,ICES (2015),,,,,
2014,UK-NIGFS,Q1,61,55,6,90,2,fisheries,NA,6 stations in St George's channel,NA,6,10,ICES (2015),,,,,
2014,UK-NIGFS,Q1,,,,,2,military,NA,NA,military: firing practice in Cardigan Bay,NA,NA,ICES (2015),,,,,
2014,UK-NIGFS,Q4,61,58,3,95,3,gear,NA,NA,NA,NA,NA,ICES (2015),,,,,
2014,UK-NIGFS,Q4,,,,,3,weather,NA,NA,NA,NA,NA,ICES (2015),,,,,
2014,IE-IGFS,Q4,171,170,1,99,3,weather,1.5 days,NA,NA,NA,NA,ICES (2015),,,,,
2014,FR-CGFS,Q4,110,95,15,86,3,gear,NA,NA,4 hauls not validated bc gear damage,4,4,ICES (2015),,,,,
2014,PT-PGFS,Q4,96,81,15,84,2,fisheries,NA,15 stations because of static gear,NA,15,16,ICES (2015),,,,,
2014,PT-PGFS,Q4,,,,,3,weather,6 days,NA,NA,NA,NA,ICES (2015),,,,,
2014,PT-PGFS,Q4,,,,,3,gear,2 days,NA,NA,NA,NA,ICES (2015),,,,,
2015,UK-SCOWGFS,Q1,96,94,2,98,2,weather,NA,2 stations in North of St Kilda,NA,2,2,ICES (2016),,,,,
2015,UK-SCOWGFS,Q4,60,58,2,97,3,weather,NA,2 stations,NA,2,3,ICES (2016),,,,,
2015,IE-IGFS,Q4,171,146,25,85,3,weather,6 days,NA,Marine Notice helpel w/ static gear conflicts,NA,NA,ICES (2016),,,,,
2015,IE-IGFS,Q4,,,,,3,gear,NA,NA,Marine Notice helpel w/ static gear conflicts,NA,NA,ICES (2016),,,,,
2015,FR-EVHOE,Q4,156,148,8,95,3,weather,1 day,NA,NA,NA,NA,ICES (2016),,,,,
2015,FR-EVHOE,Q4,,,,,3,gear,NA,NA,3 hauls not validated bc gear damage,3,2,ICES (2016),,,,,
2015,PT-PGFS,Q4,96,89,7,93,2,fisheries,NA,5 stations bc static gear,also called PT-PGFS,5,5,ICES (2016),,,,,
2016,NS-IBTS GER,Q1,76,48,28,63,3,weather,NA,NA,NA,NA,NA,ICES (2016),,,,,
2016,UK-SCOWGFS,Q4,60,58,2,97,2,fisheries,NA,1 station,creel in net,1,2,ICES (2017),,,,,
2016,IE-IAMS,Q1,110,107,3,97,2,fisheries,NA,NA,NA,NA,NA,ICES (2017),,,,,
2016,IE-IAMS,Q1,,,,,3,gear,NA,1 station,NA,1,1,ICES (2017),,,,,
2016,FR-EVHOE,Q4,150,157,,105,2,legal,NA,NA,permit to Irish EEZ too late,NA,NA,ICES (2017),,,,,
2016,PT-PGFS,Q4,96,85,11,89,2,fisheries,NA,2 stations,,2,2,ICES (2017),,,,,
